"","obs_number","time","ID","date_time","mood","circumplex.arousal","circumplex.valence","activity","screen","call","sms","appCat.builtin","appCat.communication","appCat.entertainment","appCat.finance","appCat.game","appCat.office","appCat.other","appCat.social","appCat.travel","appCat.unknown","appCat.utilities","appCat.weather","date","hour","weekday","week_of_year","days_since_start","is_inactive","potential_sleep_hour","after_midnight_activity"
"11",1121000,"03:13:52","1",2014-03-21 03:13:52.801,NA,NA,NA,NA,NA,NA,NA,11.034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-21,3,"Friday",12,0,FALSE,TRUE,TRUE
"12",2334163,"03:14:03","1",2014-03-21 03:14:03.841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,271.173,NA,2014-03-21,3,"Friday",12,0,FALSE,TRUE,TRUE
"13",1141000,"03:18:35","1",2014-03-21 03:18:35.02,NA,NA,NA,NA,NA,NA,NA,6.821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-21,3,"Friday",12,0,FALSE,TRUE,TRUE
"14",39906,"03:19:51","1",2014-03-21 03:19:51.42,NA,NA,NA,NA,9.12599992752075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-21,3,"Friday",12,0,FALSE,TRUE,TRUE
"15",1151000,"03:19:51","1",2014-03-21 03:19:51.542,NA,NA,NA,NA,NA,NA,NA,9.038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-21,3,"Friday",12,0,FALSE,TRUE,TRUE
"16",39907,"03:20:10","1",2014-03-21 03:20:10.997,NA,NA,NA,NA,1923.6400001049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-21,3,"Friday",12,0,FALSE,TRUE,TRUE
"17",1161000,"03:20:11","1",2014-03-21 03:20:11.023,NA,NA,NA,NA,NA,NA,NA,4.031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-21,3,"Friday",12,0,FALSE,TRUE,TRUE
"18",1633952,"03:20:15","1",2014-03-21 03:20:15.055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,274.175,NA,NA,NA,NA,2014-03-21,3,"Friday",12,0,FALSE,TRUE,TRUE
"19",1181000,"03:24:49","1",2014-03-21 03:24:49.26,NA,NA,NA,NA,NA,NA,NA,4.407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-21,3,"Friday",12,0,FALSE,TRUE,TRUE
"20",2334169,"03:24:53","1",2014-03-21 03:24:53.671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.017,NA,2014-03-21,3,"Friday",12,0,FALSE,TRUE,TRUE
"21",1201000,"03:24:56","1",2014-03-21 03:24:56.696,NA,NA,NA,NA,NA,NA,NA,5.085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-21,3,"Friday",12,0,FALSE,TRUE,TRUE
"22",2334171,"03:25:01","1",2014-03-21 03:25:01.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.073,NA,2014-03-21,3,"Friday",12,0,FALSE,TRUE,TRUE
"23",2334172,"03:25:02","1",2014-03-21 03:25:02.868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.341,NA,2014-03-21,3,"Friday",12,0,FALSE,TRUE,TRUE
"24",1231000,"03:25:06","1",2014-03-21 03:25:06.21,NA,NA,NA,NA,NA,NA,NA,2.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-21,3,"Friday",12,0,FALSE,TRUE,TRUE
"25",233529,"03:50:19","1",2014-03-21 03:50:19.989,NA,NA,NA,NA,NA,NA,NA,NA,103.402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-21,3,"Friday",12,0,FALSE,TRUE,TRUE
"26",1251000,"03:52:03","1",2014-03-21 03:52:03.948,NA,NA,NA,NA,NA,NA,NA,10.669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-21,3,"Friday",12,0,FALSE,TRUE,TRUE
"27",16934,"04:00:00","1",2014-03-21 04:00:00,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-21,4,"Friday",12,0,TRUE,TRUE,TRUE
"28",16935,"05:00:00","1",2014-03-21 05:00:00,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-21,5,"Friday",12,0,TRUE,TRUE,TRUE
"29",16936,"06:00:00","1",2014-03-21 06:00:00,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-21,6,"Friday",12,0,TRUE,TRUE,TRUE
"30",16937,"07:00:00","1",2014-03-21 07:00:00,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-21,7,"Friday",12,0,TRUE,TRUE,TRUE
"31",16938,"08:00:00","1",2014-03-21 08:00:00,NA,NA,NA,0.0256410256410256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-21,8,"Friday",12,0,FALSE,TRUE,TRUE
"32",39908,"08:00:02","1",2014-03-21 08:00:02.102,NA,NA,NA,NA,142.660000085831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-21,8,"Friday",12,0,FALSE,TRUE,TRUE
"33",1261000,"08:00:02","1",2014-03-21 08:00:02.111,NA,NA,NA,NA,NA,NA,NA,7.189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-21,8,"Friday",12,0,FALSE,TRUE,TRUE
"34",1271000,"08:00:09","1",2014-03-21 08:00:09.305,NA,NA,NA,NA,NA,NA,NA,17.177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-21,8,"Friday",12,0,FALSE,TRUE,TRUE
"35",233533,"08:00:26","1",2014-03-21 08:00:26.486,NA,NA,NA,NA,NA,NA,NA,NA,13.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-21,8,"Friday",12,0,FALSE,TRUE,TRUE
"36",1291000,"08:00:39","1",2014-03-21 08:00:39.556,NA,NA,NA,NA,NA,NA,NA,3.014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-21,8,"Friday",12,0,FALSE,TRUE,TRUE
"37",1633965,"08:00:42","1",2014-03-21 08:00:42.572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.361,NA,NA,NA,NA,2014-03-21,8,"Friday",12,0,FALSE,TRUE,TRUE
"38",233536,"08:02:11","1",2014-03-21 08:02:11.04,NA,NA,NA,NA,NA,NA,NA,NA,12.811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-21,8,"Friday",12,0,FALSE,TRUE,TRUE
"39",39909,"08:02:26","1",2014-03-21 08:02:26.538,NA,NA,NA,NA,21.2769999504089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-21,8,"Friday",12,0,FALSE,TRUE,TRUE
"40",233537,"08:02:26","1",2014-03-21 08:02:26.549,NA,NA,NA,NA,NA,NA,NA,NA,3.039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-21,8,"Friday",12,0,FALSE,TRUE,TRUE
"41",1331000,"08:02:29","1",2014-03-21 08:02:29.592,NA,NA,NA,NA,NA,NA,NA,5.012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-21,8,"Friday",12,0,FALSE,TRUE,TRUE
"42",1341000,"08:02:34","1",2014-03-21 08:02:34.605,NA,NA,NA,NA,NA,NA,NA,10.051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-21,8,"Friday",12,0,FALSE,TRUE,TRUE
"43",1351000,"08:02:44","1",2014-03-21 08:02:44.657,NA,NA,NA,NA,NA,NA,NA,3.076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-21,8,"Friday",12,0,FALSE,TRUE,TRUE
"44",8,"09:00:00","1",2014-03-21 09:00:00,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-21,9,"Friday",12,0,FALSE,TRUE,TRUE
"45",5649,"09:00:00","1",2014-03-21 09:00:00,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-21,9,"Friday",12,0,FALSE,TRUE,TRUE
"46",11292,"09:00:00","1",2014-03-21 09:00:00,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-21,9,"Friday",12,0,FALSE,TRUE,TRUE
"47",16939,"09:00:00","1",2014-03-21 09:00:00,NA,NA,NA,0.00833333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-21,9,"Friday",12,0,FALSE,TRUE,TRUE
"48",39910,"09:00:02","1",2014-03-21 09:00:02.013,NA,NA,NA,NA,18.5269999504089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-21,9,"Friday",12,0,FALSE,TRUE,TRUE
"49",1361001,"09:00:02","1",2014-03-21 09:00:02.017,NA,NA,NA,NA,NA,NA,NA,9.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-21,9,"Friday",12,0,FALSE,TRUE,TRUE
"50",1371000,"09:00:11","1",2014-03-21 09:00:11.079,NA,NA,NA,NA,NA,NA,NA,9.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-21,9,"Friday",12,0,FALSE,TRUE,TRUE
"51",1381000,"09:10:01","1",2014-03-21 09:10:01.746,NA,NA,NA,NA,NA,NA,NA,6.016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-21,9,"Friday",12,0,FALSE,TRUE,TRUE
"52",39911,"09:10:01","1",2014-03-21 09:10:01.789,NA,NA,NA,NA,15.7109999656677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-21,9,"Friday",12,0,FALSE,TRUE,TRUE
"53",1391000,"09:10:07","1",2014-03-21 09:10:07.765,NA,NA,NA,NA,NA,NA,NA,9.713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-21,9,"Friday",12,0,FALSE,TRUE,TRUE
"54",39912,"09:20:01","1",2014-03-21 09:20:01.924,NA,NA,NA,NA,13.7920000553131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-21,9,"Friday",12,0,FALSE,TRUE,TRUE
"55",1401000,"09:20:01","1",2014-03-21 09:20:01.933,NA,NA,NA,NA,NA,NA,NA,4.149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-21,9,"Friday",12,0,FALSE,TRUE,TRUE
"56",1411000,"09:20:06","1",2014-03-21 09:20:06.088,NA,NA,NA,NA,NA,NA,NA,9.611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-21,9,"Friday",12,0,FALSE,TRUE,TRUE
"57",1421000,"09:30:02","1",2014-03-21 09:30:02.509,NA,NA,NA,NA,NA,NA,NA,4.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-21,9,"Friday",12,0,FALSE,TRUE,TRUE
"58",39913,"09:30:02","1",2014-03-21 09:30:02.552,NA,NA,NA,NA,14.3469998836517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-21,9,"Friday",12,0,FALSE,TRUE,TRUE
"59",143523,"09:30:06","1",2014-03-21 09:30:06.525,NA,NA,NA,NA,NA,NA,NA,10.354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-21,9,"Friday",12,0,FALSE,TRUE,TRUE
"60",144100,"09:40:02","1",2014-03-21 09:40:02.303,NA,NA,NA,NA,NA,NA,NA,6.022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-21,9,"Friday",12,0,FALSE,TRUE,TRUE
"61",39914,"09:40:02","1",2014-03-21 09:40:02.309,NA,NA,NA,NA,16.0339999198914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-21,9,"Friday",12,0,FALSE,TRUE,TRUE
"62",145100,"09:40:08","1",2014-03-21 09:40:08.332,NA,NA,NA,NA,NA,NA,NA,9.979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-21,9,"Friday",12,0,FALSE,TRUE,TRUE
"63",39915,"09:50:01","1",2014-03-21 09:50:01.897,NA,NA,NA,NA,1120.47899985313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-21,9,"Friday",12,0,FALSE,TRUE,TRUE
"64",146101,"09:50:01","1",2014-03-21 09:50:01.897,NA,NA,NA,NA,NA,NA,NA,5.014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-21,9,"Friday",12,0,FALSE,TRUE,TRUE
"65",147102,"09:50:06","1",2014-03-21 09:50:06.913,NA,NA,NA,NA,NA,NA,NA,16.087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-21,9,"Friday",12,0,FALSE,TRUE,TRUE
"66",233553,"09:50:23","1",2014-03-21 09:50:23.002,NA,NA,NA,NA,NA,NA,NA,NA,11.051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-21,9,"Friday",12,0,FALSE,TRUE,TRUE
"67",233554,"09:50:34","1",2014-03-21 09:50:34.059,NA,NA,NA,NA,NA,NA,NA,NA,30.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-21,9,"Friday",12,0,FALSE,TRUE,TRUE
"68",150104,"09:51:04","1",2014-03-21 09:51:04.194,NA,NA,NA,NA,NA,NA,NA,2.015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-21,9,"Friday",12,0,FALSE,TRUE,TRUE
"69",1400581,"09:51:06","1",2014-03-21 09:51:06.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.16,NA,NA,NA,NA,NA,2014-03-21,9,"Friday",12,0,FALSE,TRUE,TRUE
"70",152101,"09:51:44","1",2014-03-21 09:51:44.381,NA,NA,NA,NA,NA,NA,NA,3.009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-21,9,"Friday",12,0,FALSE,TRUE,TRUE
"71",1633988,"09:51:47","1",2014-03-21 09:51:47.391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.267,NA,NA,NA,NA,2014-03-21,9,"Friday",12,0,FALSE,TRUE,TRUE
"72",154101,"09:52:36","1",2014-03-21 09:52:36.661,NA,NA,NA,NA,NA,NA,NA,3.009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-21,9,"Friday",12,0,FALSE,TRUE,TRUE
"73",1633990,"09:52:39","1",2014-03-21 09:52:39.673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.413,NA,NA,NA,NA,2014-03-21,9,"Friday",12,0,FALSE,TRUE,TRUE
"74",233561,"09:54:16","1",2014-03-21 09:54:16.095,NA,NA,NA,NA,NA,NA,NA,NA,42.243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-21,9,"Friday",12,0,FALSE,TRUE,TRUE
"75",157104,"09:54:58","1",2014-03-21 09:54:58.338,NA,NA,NA,NA,NA,NA,NA,3.084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-21,9,"Friday",12,0,FALSE,TRUE,TRUE
"76",1633993,"09:55:01","1",2014-03-21 09:55:01.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115.513,NA,NA,NA,NA,2014-03-21,9,"Friday",12,0,FALSE,TRUE,TRUE
"77",233564,"09:56:56","1",2014-03-21 09:56:56.944,NA,NA,NA,NA,NA,NA,NA,NA,22.066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-21,9,"Friday",12,0,FALSE,TRUE,TRUE
"78",160100,"09:57:19","1",2014-03-21 09:57:19.01,NA,NA,NA,NA,NA,NA,NA,2.004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-21,9,"Friday",12,0,FALSE,TRUE,TRUE
"79",1633996,"09:57:21","1",2014-03-21 09:57:21.016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.126,NA,NA,NA,NA,2014-03-21,9,"Friday",12,0,FALSE,TRUE,TRUE
"80",162101,"09:57:36","1",2014-03-21 09:57:36.142,NA,NA,NA,NA,NA,NA,NA,1.004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-21,9,"Friday",12,0,FALSE,TRUE,TRUE
"81",233568,"09:57:37","1",2014-03-21 09:57:37.157,NA,NA,NA,NA,NA,NA,NA,NA,12.027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-21,9,"Friday",12,0,FALSE,TRUE,TRUE
"82",164104,"09:57:49","1",2014-03-21 09:57:49.186,NA,NA,NA,NA,NA,NA,NA,1.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-21,9,"Friday",12,0,FALSE,TRUE,TRUE
"83",1634000,"09:57:50","1",2014-03-21 09:57:50.188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.136,NA,NA,NA,NA,2014-03-21,9,"Friday",12,0,FALSE,TRUE,TRUE
"84",166105,"09:58:45","1",2014-03-21 09:58:45.325,NA,NA,NA,NA,NA,NA,NA,2.004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-21,9,"Friday",12,0,FALSE,TRUE,TRUE
"85",1634002,"09:58:47","1",2014-03-21 09:58:47.331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.004,NA,NA,NA,NA,2014-03-21,9,"Friday",12,0,FALSE,TRUE,TRUE
"86",168101,"09:58:49","1",2014-03-21 09:58:49.335,NA,NA,NA,NA,NA,NA,NA,4.396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-21,9,"Friday",12,0,FALSE,TRUE,TRUE
"87",233574,"09:58:53","1",2014-03-21 09:58:53.733,NA,NA,NA,NA,NA,NA,NA,NA,171.851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-21,9,"Friday",12,0,FALSE,TRUE,TRUE
"88",16940,"10:00:00","1",2014-03-21 10:00:00,NA,NA,NA,0.0483870967741935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-21,10,"Friday",12,0,FALSE,TRUE,TRUE
"89",170103,"10:01:45","1",2014-03-21 10:01:45.615,NA,NA,NA,NA,NA,NA,NA,2.121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-21,10,"Friday",12,0,FALSE,TRUE,TRUE
"90",1634006,"10:01:47","1",2014-03-21 10:01:47.736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.52,NA,NA,NA,NA,2014-03-21,10,"Friday",12,0,FALSE,TRUE,TRUE
"91",172101,"10:02:47","1",2014-03-21 10:02:47.273,NA,NA,NA,NA,NA,NA,NA,14.044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-21,10,"Friday",12,0,FALSE,TRUE,TRUE
"92",233578,"10:03:01","1",2014-03-21 10:03:01.321,NA,NA,NA,NA,NA,NA,NA,NA,22.075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-21,10,"Friday",12,0,FALSE,TRUE,TRUE
"93",174100,"10:03:23","1",2014-03-21 10:03:23.414,NA,NA,NA,NA,NA,NA,NA,2.009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-21,10,"Friday",12,0,FALSE,TRUE,TRUE
"94",1634010,"10:03:25","1",2014-03-21 10:03:25.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.982,NA,NA,NA,NA,2014-03-21,10,"Friday",12,0,FALSE,TRUE,TRUE
"95",176100,"10:04:55","1",2014-03-21 10:04:55.413,NA,NA,NA,NA,NA,NA,NA,2.007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-21,10,"Friday",12,0,FALSE,TRUE,TRUE
"96",1634012,"10:04:57","1",2014-03-21 10:04:57.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.087,NA,NA,NA,NA,2014-03-21,10,"Friday",12,0,FALSE,TRUE,TRUE
"97",178100,"10:05:14","1",2014-03-21 10:05:14.507,NA,NA,NA,NA,NA,NA,NA,12.054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-21,10,"Friday",12,0,FALSE,TRUE,TRUE
"98",1634014,"10:05:26","1",2014-03-21 10:05:26.562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144.562,NA,NA,NA,NA,2014-03-21,10,"Friday",12,0,FALSE,TRUE,TRUE
"99",233585,"10:07:51","1",2014-03-21 10:07:51.128,NA,NA,NA,NA,NA,NA,NA,NA,46.147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-21,10,"Friday",12,0,FALSE,TRUE,TRUE
"100",181102,"10:08:37","1",2014-03-21 10:08:37.285,NA,NA,NA,NA,NA,NA,NA,5.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-21,10,"Friday",12,0,FALSE,TRUE,TRUE
"101",182102,"10:10:03","1",2014-03-21 10:10:03.144,NA,NA,NA,NA,NA,NA,NA,3.084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-21,10,"Friday",12,0,FALSE,TRUE,TRUE
"102",39916,"10:10:03","1",2014-03-21 10:10:03.17,NA,NA,NA,NA,1967.28299999237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-21,10,"Friday",12,0,FALSE,TRUE,TRUE
"103",233588,"10:10:06","1",2014-03-21 10:10:06.23,NA,NA,NA,NA,NA,NA,NA,NA,27.065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-21,10,"Friday",12,0,FALSE,TRUE,TRUE
"104",184103,"10:10:33","1",2014-03-21 10:10:33.298,NA,NA,NA,NA,NA,NA,NA,6.022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-21,10,"Friday",12,0,FALSE,TRUE,TRUE
"105",466995,"10:10:39","1",2014-03-21 10:10:39.326,NA,NA,NA,NA,NA,NA,NA,NA,NA,223.126,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-21,10,"Friday",12,0,FALSE,TRUE,TRUE
"106",186100,"10:14:22","1",2014-03-21 10:14:22.459,NA,NA,NA,NA,NA,NA,NA,4.088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-21,10,"Friday",12,0,FALSE,TRUE,TRUE
"107",233592,"10:14:26","1",2014-03-21 10:14:26.552,NA,NA,NA,NA,NA,NA,NA,NA,70.334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-21,10,"Friday",12,0,FALSE,TRUE,TRUE
"108",188100,"10:15:36","1",2014-03-21 10:15:36.892,NA,NA,NA,NA,NA,NA,NA,2.005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-21,10,"Friday",12,0,FALSE,TRUE,TRUE
"109",466999,"10:15:38","1",2014-03-21 10:15:38.898,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.021,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-21,10,"Friday",12,0,FALSE,TRUE,TRUE
"110",190100,"10:15:40","1",2014-03-21 10:15:40.921,NA,NA,NA,NA,NA,NA,NA,3.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-21,10,"Friday",12,0,FALSE,TRUE,TRUE
"111",1634026,"10:15:43","1",2014-03-21 10:15:43.936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.173,NA,NA,NA,NA,2014-03-21,10,"Friday",12,0,FALSE,TRUE,TRUE
"112",233597,"10:16:50","1",2014-03-21 10:16:50.109,NA,NA,NA,NA,NA,NA,NA,NA,400.556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-21,10,"Friday",12,0,FALSE,TRUE,TRUE
