"","obs_number","time","ID","date_time","mood","circumplex.arousal","circumplex.valence","activity","screen","call","sms","appCat.builtin","appCat.communication","appCat.entertainment","appCat.finance","appCat.game","appCat.office","appCat.other","appCat.social","appCat.travel","appCat.unknown","appCat.utilities","appCat.weather","date","hour","weekday","week_of_year"
"17",24,"12:00:00","1",2014-03-24 12:00:00,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-24,12,"Monday",12
"18",25,"15:00:00","1",2014-03-24 15:00:00,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-24,15,"Monday",12
"19",26,"18:00:00","1",2014-03-24 18:00:00,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-24,18,"Monday",12
"20",27,"21:00:00","1",2014-03-24 21:00:00,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-24,21,"Monday",12
"21",28,"09:00:00","1",2014-03-25 09:00:00,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-25,9,"Tuesday",12
"22",29,"15:00:00","1",2014-03-25 15:00:00,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-25,15,"Tuesday",12
"23",30,"20:00:00","1",2014-03-25 20:00:00,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-25,20,"Tuesday",12
"24",31,"21:00:00","1",2014-03-25 21:00:00,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-25,21,"Tuesday",12
"25",32,"09:00:00","1",2014-03-26 09:00:00,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-26,9,"Wednesday",13
"26",33,"12:00:00","1",2014-03-26 12:00:00,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-26,12,"Wednesday",13
"27",34,"15:00:00","1",2014-03-26 15:00:00,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-26,15,"Wednesday",13
"28",35,"18:00:00","1",2014-03-26 18:00:00,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-26,18,"Wednesday",13
"29",36,"21:00:00","1",2014-03-26 21:00:00,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-26,21,"Wednesday",13
"30",37,"09:00:00","1",2014-03-27 09:00:00,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-27,9,"Thursday",13
"31",38,"14:00:00","1",2014-03-27 14:00:00,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-27,14,"Thursday",13
"32",39,"15:00:00","1",2014-03-27 15:00:00,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-27,15,"Thursday",13
"33",40,"17:00:00","1",2014-03-27 17:00:00,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-27,17,"Thursday",13
"34",41,"23:00:00","1",2014-03-27 23:00:00,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-27,23,"Thursday",13
"35",42,"10:00:00","1",2014-03-28 10:00:00,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-28,10,"Friday",13
"36",43,"12:00:00","1",2014-03-28 12:00:00,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-28,12,"Friday",13
"37",44,"15:00:00","1",2014-03-28 15:00:00,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-28,15,"Friday",13
"38",45,"18:00:00","1",2014-03-28 18:00:00,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-28,18,"Friday",13
"39",46,"21:00:00","1",2014-03-28 21:00:00,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-28,21,"Friday",13
"40",47,"10:00:00","1",2014-03-29 10:00:00,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-29,10,"Saturday",13
"41",48,"11:00:00","1",2014-03-29 11:00:00,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-29,11,"Saturday",13
"42",49,"16:00:00","1",2014-03-29 16:00:00,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-29,16,"Saturday",13
"43",50,"18:00:00","1",2014-03-29 18:00:00,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-29,18,"Saturday",13
"44",51,"21:00:00","1",2014-03-29 21:00:00,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-29,21,"Saturday",13
"45",52,"11:00:00","1",2014-03-30 11:00:00,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-30,11,"Sunday",13
"46",53,"12:00:00","1",2014-03-30 12:00:00,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-30,12,"Sunday",13
"47",54,"15:00:00","1",2014-03-30 15:00:00,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-30,15,"Sunday",13
"48",55,"21:00:00","1",2014-03-30 21:00:00,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-30,21,"Sunday",13
"49",56,"09:00:00","1",2014-03-31 09:00:00,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-31,9,"Monday",13
"50",57,"12:00:00","1",2014-03-31 12:00:00,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-31,12,"Monday",13
"51",58,"15:00:00","1",2014-03-31 15:00:00,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-31,15,"Monday",13
"52",59,"18:00:00","1",2014-03-31 18:00:00,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-31,18,"Monday",13
"53",60,"21:00:00","1",2014-03-31 21:00:00,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-31,21,"Monday",13
"54",61,"09:00:00","1",2014-04-01 09:00:00,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,9,"Tuesday",13
"55",62,"12:00:00","1",2014-04-01 12:00:00,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,12,"Tuesday",13
"56",63,"15:00:00","1",2014-04-01 15:00:00,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,15,"Tuesday",13
"57",64,"17:00:00","1",2014-04-01 17:00:00,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,17,"Tuesday",13
"58",65,"21:00:00","1",2014-04-01 21:00:00,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,21,"Tuesday",13
"59",66,"09:00:00","1",2014-04-02 09:00:00,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-02,9,"Wednesday",14
"60",67,"15:00:00","1",2014-04-02 15:00:00,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-02,15,"Wednesday",14
"61",68,"18:00:00","1",2014-04-02 18:00:00,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-02,18,"Wednesday",14
"62",69,"21:00:00","1",2014-04-02 21:00:00,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-02,21,"Wednesday",14
"63",70,"09:00:00","1",2014-04-03 09:00:00,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-03,9,"Thursday",14
"64",71,"12:00:00","1",2014-04-03 12:00:00,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-03,12,"Thursday",14
"65",72,"15:00:00","1",2014-04-03 15:00:00,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-03,15,"Thursday",14
"66",73,"18:00:00","1",2014-04-03 18:00:00,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-03,18,"Thursday",14
"67",74,"21:00:00","1",2014-04-03 21:00:00,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-03,21,"Thursday",14
"68",75,"10:00:00","1",2014-04-04 10:00:00,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-04,10,"Friday",14
"69",76,"13:00:00","1",2014-04-04 13:00:00,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-04,13,"Friday",14
"70",77,"15:00:00","1",2014-04-04 15:00:00,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-04,15,"Friday",14
"71",78,"18:00:00","1",2014-04-04 18:00:00,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-04,18,"Friday",14
"72",79,"21:00:00","1",2014-04-04 21:00:00,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-04,21,"Friday",14
"73",80,"10:00:00","1",2014-04-05 10:00:00,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-05,10,"Saturday",14
"74",81,"12:00:00","1",2014-04-05 12:00:00,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-05,12,"Saturday",14
"75",82,"14:00:00","1",2014-04-05 14:00:00,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-05,14,"Saturday",14
"76",83,"18:00:00","1",2014-04-05 18:00:00,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-05,18,"Saturday",14
"77",84,"21:00:00","1",2014-04-05 21:00:00,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-05,21,"Saturday",14
"78",85,"13:00:00","1",2014-04-06 13:00:00,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-06,13,"Sunday",14
"79",86,"16:00:00","1",2014-04-06 16:00:00,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-06,16,"Sunday",14
"80",87,"18:00:00","1",2014-04-06 18:00:00,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-06,18,"Sunday",14
"81",88,"21:00:00","1",2014-04-06 21:00:00,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-06,21,"Sunday",14
"82",89,"10:00:00","1",2014-04-07 10:00:00,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-07,10,"Monday",14
"83",90,"15:00:00","1",2014-04-07 15:00:00,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-07,15,"Monday",14
"84",91,"18:00:00","1",2014-04-07 18:00:00,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-07,18,"Monday",14
"85",92,"21:00:00","1",2014-04-07 21:00:00,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-07,21,"Monday",14
"86",93,"09:00:00","1",2014-04-08 09:00:00,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-08,9,"Tuesday",14
"87",94,"12:00:00","1",2014-04-08 12:00:00,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-08,12,"Tuesday",14
"88",95,"14:00:00","1",2014-04-08 14:00:00,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-08,14,"Tuesday",14
"89",96,"18:00:00","1",2014-04-08 18:00:00,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-08,18,"Tuesday",14
"90",97,"20:00:00","1",2014-04-08 20:00:00,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-08,20,"Tuesday",14
"91",98,"09:00:00","1",2014-04-09 09:00:00,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-09,9,"Wednesday",15
"92",99,"12:00:00","1",2014-04-09 12:00:00,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-09,12,"Wednesday",15
"93",100,"15:00:00","1",2014-04-09 15:00:00,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-09,15,"Wednesday",15
"94",101,"18:00:00","1",2014-04-09 18:00:00,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-09,18,"Wednesday",15
"95",102,"21:00:00","1",2014-04-09 21:00:00,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-09,21,"Wednesday",15
"96",103,"11:00:00","1",2014-04-10 11:00:00,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-10,11,"Thursday",15
"97",104,"12:00:00","1",2014-04-10 12:00:00,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-10,12,"Thursday",15
"98",105,"15:00:00","1",2014-04-10 15:00:00,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-10,15,"Thursday",15
"99",106,"19:00:00","1",2014-04-10 19:00:00,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-10,19,"Thursday",15
"100",107,"23:00:00","1",2014-04-10 23:00:00,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-10,23,"Thursday",15
"101",108,"09:00:00","1",2014-04-11 09:00:00,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-11,9,"Friday",15
"102",109,"12:00:00","1",2014-04-11 12:00:00,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-11,12,"Friday",15
"103",110,"15:00:00","1",2014-04-11 15:00:00,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-11,15,"Friday",15
"104",111,"18:00:00","1",2014-04-11 18:00:00,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-11,18,"Friday",15
"105",112,"22:00:00","1",2014-04-11 22:00:00,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-11,22,"Friday",15
"106",113,"09:00:00","1",2014-04-12 09:00:00,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-12,9,"Saturday",15
"107",114,"12:00:00","1",2014-04-12 12:00:00,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-12,12,"Saturday",15
"108",115,"16:00:00","1",2014-04-12 16:00:00,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-12,16,"Saturday",15
"109",116,"21:00:00","1",2014-04-12 21:00:00,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-12,21,"Saturday",15
"110",117,"10:00:00","1",2014-04-13 10:00:00,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-13,10,"Sunday",15
"111",118,"12:00:00","1",2014-04-13 12:00:00,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-13,12,"Sunday",15
"112",119,"16:00:00","1",2014-04-13 16:00:00,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-13,16,"Sunday",15
"113",120,"22:00:00","1",2014-04-13 22:00:00,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-13,22,"Sunday",15
"114",121,"09:00:00","1",2014-04-14 09:00:00,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-14,9,"Monday",15
"115",122,"12:00:00","1",2014-04-14 12:00:00,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-14,12,"Monday",15
"116",123,"14:00:00","1",2014-04-14 14:00:00,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-14,14,"Monday",15
"117",124,"18:00:00","1",2014-04-14 18:00:00,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-14,18,"Monday",15
"118",125,"21:00:00","1",2014-04-14 21:00:00,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-14,21,"Monday",15
"119",126,"08:00:00","1",2014-04-15 08:00:00,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-15,8,"Tuesday",15
"120",127,"13:00:00","1",2014-04-15 13:00:00,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-15,13,"Tuesday",15
"121",128,"15:00:00","1",2014-04-15 15:00:00,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-15,15,"Tuesday",15
"122",129,"19:00:00","1",2014-04-15 19:00:00,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-15,19,"Tuesday",15
"123",130,"21:00:00","1",2014-04-15 21:00:00,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-15,21,"Tuesday",15
"124",131,"08:00:00","1",2014-04-16 08:00:00,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-16,8,"Wednesday",16
"125",132,"12:00:00","1",2014-04-16 12:00:00,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-16,12,"Wednesday",16
"126",133,"14:00:00","1",2014-04-16 14:00:00,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-16,14,"Wednesday",16
"127",134,"18:00:00","1",2014-04-16 18:00:00,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-16,18,"Wednesday",16
"128",135,"21:00:00","1",2014-04-16 21:00:00,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-16,21,"Wednesday",16
"129",136,"11:00:00","1",2014-04-17 11:00:00,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-17,11,"Thursday",16
"130",137,"11:00:00","1",2014-04-17 11:00:00,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-17,11,"Thursday",16
"131",138,"15:00:00","1",2014-04-17 15:00:00,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-17,15,"Thursday",16
"132",139,"18:00:00","1",2014-04-17 18:00:00,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-17,18,"Thursday",16
"133",140,"21:00:00","1",2014-04-17 21:00:00,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-17,21,"Thursday",16
"134",141,"11:00:00","1",2014-04-18 11:00:00,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-18,11,"Friday",16
"135",142,"12:00:00","1",2014-04-18 12:00:00,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-18,12,"Friday",16
"136",143,"15:00:00","1",2014-04-18 15:00:00,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-18,15,"Friday",16
"137",144,"18:00:00","1",2014-04-18 18:00:00,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-18,18,"Friday",16
